epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,219.271,0.90623,1.00306,0.20469,0.04222,0.3851,0.04345,0.01855,0.68637,1.03768,0.10059,3.32992e-05,3.32992e-05,0.0667341
2,429.898,0.68885,1.02196,0.12011,0.11157,0.52252,0.12982,0.04203,0.6556,0.96419,0.08903,6.66285e-05,6.66285e-05,0.0334341
3,633.682,0.63575,1.01378,0.11022,0.09146,0.55265,0.10097,0.04194,0.5535,1.03959,0.06574,9.99415e-05,9.99415e-05,0.00013406
4,840.402,0.48459,0.6935,0.0892,0.70633,0.85762,0.65942,0.23843,0.67766,0.50756,0.08011,9.9945e-05,9.9945e-05,9.9945e-05
5,1044.63,0.48734,0.46933,0.08838,0.61422,0.81424,0.56019,0.20658,0.71791,0.53255,0.08661,9.99023e-05,9.99023e-05,9.99023e-05
6,1249.67,0.47828,0.44718,0.08325,0.65819,0.80099,0.59788,0.22748,0.68855,0.54503,0.08019,9.98474e-05,9.98474e-05,9.98474e-05
7,1456.44,0.45811,0.42424,0.07966,0.70183,0.79503,0.61806,0.24159,0.66783,0.553,0.07963,9.97803e-05,9.97803e-05,9.97803e-05
8,1659.17,0.45228,0.41931,0.07757,0.71151,0.70629,0.61537,0.24104,0.6495,0.64189,0.07397,9.97011e-05,9.97011e-05,9.97011e-05
9,1865.36,0.44086,0.41553,0.07511,0.58001,0.70762,0.52355,0.20071,0.65862,0.74225,0.0767,9.96097e-05,9.96097e-05,9.96097e-05
10,2067.54,0.43516,0.4089,0.07318,0.72949,0.80132,0.68096,0.25146,0.67247,0.52088,0.0783,9.95062e-05,9.95062e-05,9.95062e-05
11,2273.84,0.42595,0.40319,0.07053,0.69585,0.77417,0.62178,0.21803,0.67785,0.55756,0.07985,9.93906e-05,9.93906e-05,9.93906e-05
12,2477.27,0.42493,0.40221,0.0709,0.66893,0.76873,0.60555,0.22449,0.66701,0.54853,0.07689,9.92629e-05,9.92629e-05,9.92629e-05
13,2680.52,0.42115,0.39675,0.06929,0.62424,0.7447,0.57408,0.20951,0.67944,0.56967,0.07778,9.91232e-05,9.91232e-05,9.91232e-05
14,2885.78,0.41474,0.39538,0.06787,0.60058,0.80807,0.59873,0.22523,0.68344,0.59344,0.08639,9.89715e-05,9.89715e-05,9.89715e-05
15,3088.44,0.41593,0.40139,0.06902,0.53657,0.75695,0.51194,0.18409,0.69826,0.69175,0.08839,9.88079e-05,9.88079e-05,9.88079e-05
16,3295.2,0.41216,0.39198,0.06759,0.70672,0.78874,0.6527,0.24207,0.66983,0.54213,0.07953,9.86323e-05,9.86323e-05,9.86323e-05
