epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,483.184,0.64678,1.16456,0.2192,0.16604,0.23235,0.11284,0.04194,0.81283,0.88343,0.2083,3.33173e-05,3.33173e-05,0.066716
2,935.702,0.53279,0.93983,0.17346,0.63974,0.73705,0.52029,0.16001,0.82235,0.46327,0.20265,6.66466e-05,6.66466e-05,0.033416
3,1387.54,0.55077,0.47387,0.17266,0.74087,0.70339,0.64012,0.25275,0.70036,0.67069,0.1791,9.99596e-05,9.99596e-05,0.000115947
4,1828.39,0.4523,0.43606,0.14649,0.64168,0.72001,0.57653,0.21728,0.7153,0.67623,0.20106,9.9945e-05,9.9945e-05,9.9945e-05
5,2269.45,0.43082,0.41845,0.13601,0.68354,0.74337,0.60757,0.22131,0.70044,0.57953,0.17903,9.99023e-05,9.99023e-05,9.99023e-05
6,2708.89,0.41496,0.40519,0.1302,0.68449,0.68378,0.57893,0.21552,0.68815,0.69069,0.17812,9.98474e-05,9.98474e-05,9.98474e-05
7,3151.8,0.40353,0.40023,0.12519,0.61815,0.63188,0.49065,0.16899,0.7365,0.72135,0.21177,9.97803e-05,9.97803e-05,9.97803e-05
8,3594.31,0.39636,0.39595,0.12069,0.55834,0.56355,0.41861,0.15613,0.74888,0.80731,0.2238,9.97011e-05,9.97011e-05,9.97011e-05
9,4034.19,0.39066,0.39026,0.11752,0.58646,0.58242,0.44365,0.15284,0.74981,0.74058,0.21843,9.96097e-05,9.96097e-05,9.96097e-05
10,4474.01,0.38671,0.38762,0.11565,0.62339,0.62217,0.4627,0.148,0.74983,0.76958,0.21821,9.95062e-05,9.95062e-05,9.95062e-05
11,4914.66,0.37931,0.38339,0.11261,0.68133,0.71965,0.57629,0.18697,0.7381,0.64323,0.21155,9.93906e-05,9.93906e-05,9.93906e-05
12,5358.38,0.37559,0.37962,0.11194,0.58504,0.62138,0.45201,0.15342,0.7576,0.77178,0.2258,9.92629e-05,9.92629e-05,9.92629e-05
13,5798.84,0.37125,0.37774,0.10909,0.53182,0.50041,0.35065,0.10878,0.80313,0.73471,0.25309,9.91232e-05,9.91232e-05,9.91232e-05
14,6238.46,0.36663,0.37479,0.10709,0.47614,0.45094,0.28821,0.09036,0.82368,0.86062,0.27561,9.89715e-05,9.89715e-05,9.89715e-05
15,6679.66,0.36416,0.3731,0.1055,0.59359,0.5869,0.42495,0.1322,0.78438,0.82763,0.24108,9.88079e-05,9.88079e-05,9.88079e-05
16,7125.13,0.36026,0.36943,0.1046,0.56782,0.58721,0.4108,0.1289,0.8033,0.73955,0.25826,9.86323e-05,9.86323e-05,9.86323e-05
17,7568.15,0.35758,0.36862,0.10312,0.51768,0.48266,0.32678,0.10311,0.80032,0.87592,0.25927,9.84449e-05,9.84449e-05,9.84449e-05
18,8008.8,0.35245,0.3663,0.10201,0.5468,0.54555,0.37413,0.1144,0.81359,0.81,0.2637,9.82456e-05,9.82456e-05,9.82456e-05
19,8452.5,0.34996,0.36318,0.10038,0.53857,0.5459,0.37092,0.11075,0.83872,0.74137,0.27405,9.80345e-05,9.80345e-05,9.80345e-05
20,8891.95,0.34881,0.36378,0.09957,0.53872,0.51316,0.34265,0.1028,0.84429,0.83517,0.2776,9.78118e-05,9.78118e-05,9.78118e-05
21,9334.12,0.34575,0.36033,0.09771,0.51206,0.49153,0.30929,0.08979,0.85959,0.81652,0.28896,9.75773e-05,9.75773e-05,9.75773e-05
22,9774.89,0.34091,0.35849,0.09645,0.51032,0.48817,0.31824,0.0951,0.86068,0.78539,0.28976,9.73312e-05,9.73312e-05,9.73312e-05
23,10215.1,0.34152,0.35763,0.09652,0.52307,0.50071,0.33467,0.10224,0.84972,0.81934,0.28182,9.70736e-05,9.70736e-05,9.70736e-05
24,10653.1,0.33877,0.35722,0.09546,0.53413,0.51754,0.34854,0.10428,0.84803,0.83031,0.27862,9.68045e-05,9.68045e-05,9.68045e-05
25,11098.7,0.3362,0.35476,0.09409,0.51381,0.50887,0.33257,0.0988,0.86659,0.79422,0.2941,9.65239e-05,9.65239e-05,9.65239e-05
26,11541.9,0.33587,0.35423,0.09431,0.50678,0.50558,0.32549,0.09627,0.8812,0.74623,0.30337,9.6232e-05,9.6232e-05,9.6232e-05
27,11984.2,0.33037,0.35334,0.09211,0.50711,0.49969,0.32454,0.09665,0.88703,0.72799,0.30795,9.59289e-05,9.59289e-05,9.59289e-05
28,12423.8,0.32855,0.35389,0.0918,0.50293,0.4948,0.31965,0.09555,0.89183,0.71418,0.31154,9.56145e-05,9.56145e-05,9.56145e-05
29,12862.8,0.32631,0.35051,0.09045,0.50106,0.49215,0.3186,0.09437,0.89964,0.70136,0.31679,9.52889e-05,9.52889e-05,9.52889e-05
