epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1067.49,0.59922,1.30072,0.20967,0.07317,0.43992,0.06525,0.0258,0.73012,0.99592,0.19718,3.33253e-05,3.33253e-05,0.066708
2,2485.45,0.54133,0.95241,0.18305,0.72165,0.74152,0.63855,0.24105,0.74672,0.56131,0.2086,6.66546e-05,6.66546e-05,0.033408
3,3876.26,0.52067,0.48202,0.17162,0.76525,0.72583,0.66726,0.26224,0.6855,0.61909,0.17671,9.99676e-05,9.99676e-05,0.000107963
4,4785.39,0.43433,0.44182,0.14527,0.66654,0.62719,0.54228,0.21415,0.71635,0.79481,0.19394,9.9945e-05,9.9945e-05,9.9945e-05
5,5681.6,0.41153,0.42092,0.13419,0.66259,0.60975,0.56303,0.21464,0.73158,0.75633,0.20533,9.99023e-05,9.99023e-05,9.99023e-05
6,6575.23,0.39549,0.40847,0.12764,0.61511,0.55652,0.49473,0.16431,0.90169,0.51225,0.33492,9.98474e-05,9.98474e-05,9.98474e-05
7,7470.67,0.38628,0.40482,0.12255,0.53404,0.50061,0.40798,0.13637,0.77735,0.79643,0.24143,9.97803e-05,9.97803e-05,9.97803e-05
8,8368.69,0.37943,0.39727,0.11877,0.59635,0.54145,0.45243,0.14893,0.83512,0.61467,0.27137,9.97011e-05,9.97011e-05,9.97011e-05
9,9267.57,0.37245,0.39331,0.11546,0.57542,0.49827,0.3914,0.12744,0.85879,0.63434,0.28372,9.96097e-05,9.96097e-05,9.96097e-05
10,10164.2,0.36456,0.38944,0.11287,0.59718,0.51549,0.44215,0.14665,0.84215,0.59021,0.2769,9.95062e-05,9.95062e-05,9.95062e-05
11,11062.5,0.35851,0.38304,0.10942,0.55134,0.50714,0.40312,0.12633,0.88747,0.51672,0.30731,9.93906e-05,9.93906e-05,9.93906e-05
12,11964.7,0.35538,0.38154,0.10891,0.59833,0.50357,0.38783,0.12403,0.87352,0.60923,0.29685,9.92629e-05,9.92629e-05,9.92629e-05
13,12863.3,0.34748,0.37616,0.10558,0.47309,0.38698,0.28143,0.09115,0.94159,0.62967,0.34506,9.91232e-05,9.91232e-05,9.91232e-05
14,13780.8,0.34506,0.37452,0.10352,0.53206,0.50082,0.3458,0.11277,0.95594,0.53836,0.36066,9.89715e-05,9.89715e-05,9.89715e-05
15,14644.6,0.34143,0.37137,0.10253,0.53353,0.454,0.34228,0.11219,0.92385,0.63178,0.33146,9.88079e-05,9.88079e-05,9.88079e-05
16,15523.4,0.33842,0.36985,0.10102,0.4564,0.388,0.25719,0.07595,0.94676,0.63922,0.35492,9.86323e-05,9.86323e-05,9.86323e-05
17,16415.7,0.33436,0.36742,0.10041,0.54493,0.44992,0.32796,0.1007,0.92114,0.67602,0.33317,9.84449e-05,9.84449e-05,9.84449e-05
18,17308.8,0.33073,0.36545,0.0988,0.52299,0.43217,0.30963,0.09725,0.85493,0.82391,0.29164,9.82456e-05,9.82456e-05,9.82456e-05
19,18315.4,0.3272,0.36291,0.09722,0.47468,0.4235,0.27639,0.08902,0.89421,0.77132,0.31843,9.80345e-05,9.80345e-05,9.80345e-05
20,19705.3,0.32489,0.36146,0.09634,0.45797,0.41024,0.26267,0.08331,0.88863,0.80515,0.3164,9.78118e-05,9.78118e-05,9.78118e-05
21,21090.1,0.32155,0.35901,0.0941,0.47287,0.43023,0.27653,0.08386,0.88684,0.75372,0.31077,9.75773e-05,9.75773e-05,9.75773e-05
22,22474.7,0.31958,0.35729,0.0934,0.48065,0.44655,0.28258,0.08462,0.88176,0.7634,0.30432,9.73312e-05,9.73312e-05,9.73312e-05
23,23860.4,0.31807,0.356,0.09291,0.47141,0.44472,0.27694,0.0845,0.89435,0.70664,0.3138,9.70736e-05,9.70736e-05,9.70736e-05
24,25248.2,0.31534,0.35394,0.09143,0.4447,0.42483,0.25545,0.08065,0.89283,0.73357,0.31446,9.68045e-05,9.68045e-05,9.68045e-05
25,26648.2,0.31274,0.35205,0.0906,0.43866,0.4183,0.24579,0.07753,0.88644,0.7741,0.31257,9.65239e-05,9.65239e-05,9.65239e-05
26,28032.6,0.31036,0.3517,0.09038,0.43019,0.40738,0.23801,0.0764,0.89139,0.79401,0.31704,9.6232e-05,9.6232e-05,9.6232e-05
27,29416.1,0.30691,0.34939,0.08887,0.43034,0.40973,0.23945,0.07665,0.89237,0.79955,0.31731,9.59289e-05,9.59289e-05,9.59289e-05
28,30798.1,0.30336,0.34654,0.08789,0.43027,0.4082,0.24058,0.07729,0.89328,0.79892,0.31729,9.56145e-05,9.56145e-05,9.56145e-05
29,32180.3,0.30236,0.34785,0.08707,0.43405,0.40851,0.24078,0.07685,0.89326,0.80262,0.31635,9.52889e-05,9.52889e-05,9.52889e-05
