epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0957,2.50302,27.3024,0.0062,0.07345,0.92748,0.43697,0.15018,2.89341,26.0126,0.00563,0.000330623,0.000330623,0.0672683
2,83.1994,2.30909,12.4527,0.0055,0.60034,0.48675,0.51968,0.1564,3.19403,14.5062,0.0058,0.000663885,0.000663885,0.0342682
3,116.563,2.34268,10.8194,0.00558,0.62805,0.49636,0.5032,0.1696,3.1312,19.5308,0.00577,0.000996857,0.000996857,0.00126786
4,149.987,2.2997,9.64713,0.00553,0.69334,0.54007,0.55211,0.17565,3.19673,18.8912,0.00627,0.000999023,0.000999023,0.000999023
5,183.402,2.30285,8.4863,0.00547,0.60065,0.54801,0.51757,0.18129,3.02929,18.1198,0.00572,0.000998264,0.000998264,0.000998264
6,216.906,2.27967,7.69797,0.00542,0.54498,0.48179,0.44394,0.17669,3.03426,22.3832,0.00565,0.000997288,0.000997288,0.000997288
7,250.374,2.28522,7.52577,0.00542,0.56173,0.42738,0.43016,0.12445,3.34892,22.4093,0.00589,0.000996097,0.000996097,0.000996097
8,283.788,2.22547,6.95549,0.0052,0.60597,0.51093,0.46703,0.15634,3.34899,29.3786,0.00605,0.00099469,0.00099469,0.00099469
9,316.879,2.18052,6.53433,0.00508,0.32812,0.2202,0.17244,0.04888,4.61413,40.3908,0.00937,0.000993068,0.000993068,0.000993068
10,349.984,2.19731,6.48922,0.00513,0.56045,0.37053,0.36419,0.11962,3.20147,29.7464,0.00587,0.000991232,0.000991232,0.000991232
11,382.792,2.1641,6.31179,0.00507,0.49997,0.34106,0.32132,0.11809,3.49218,32.676,0.00638,0.000989183,0.000989183,0.000989183
12,416.058,2.14273,6.12034,0.00496,0.53949,0.54603,0.40953,0.14754,2.9292,28.7565,0.00528,0.000986922,0.000986922,0.000986922
13,449.409,2.12705,5.93394,0.00496,0.6576,0.47569,0.44648,0.13782,3.19639,36.7911,0.00615,0.000984449,0.000984449,0.000984449
14,482.553,2.11401,5.76131,0.00487,0.54156,0.39967,0.36333,0.13866,3.28827,32.8989,0.00565,0.000981765,0.000981765,0.000981765
15,515.645,2.11858,5.74615,0.00485,0.75392,0.53969,0.54005,0.16849,3.75996,36.1513,0.00755,0.000978873,0.000978873,0.000978873
16,548.988,2.08739,5.75719,0.00478,0.59732,0.52384,0.43822,0.16274,3.03161,29.9093,0.00567,0.000975773,0.000975773,0.000975773
17,582.395,2.08469,5.59355,0.00479,0.46819,0.40265,0.36314,0.13133,3.22327,37.5905,0.00579,0.000972466,0.000972466,0.000972466
18,615.735,2.0849,5.46389,0.00484,0.72565,0.5606,0.51745,0.18927,3.69167,35.5134,0.0072,0.000968955,0.000968955,0.000968955
19,649.133,2.0392,5.2795,0.00468,0.3895,0.30497,0.23556,0.08674,3.57477,31.7688,0.00624,0.000965239,0.000965239,0.000965239
20,682.515,2.08461,5.32385,0.00478,0.53874,0.54139,0.38867,0.15351,3.41687,37.9948,0.00636,0.000961322,0.000961322,0.000961322
21,715.577,2.05295,5.23552,0.00468,0.69652,0.53775,0.48957,0.18956,3.29757,35.1283,0.00593,0.000957205,0.000957205,0.000957205
22,748.997,2.02206,5.12111,0.00461,0.6816,0.51178,0.48641,0.18684,3.62829,34.5872,0.00682,0.000952889,0.000952889,0.000952889
23,782.811,2.04381,5.1651,0.00468,0.58994,0.48974,0.39875,0.1328,3.24393,30.8894,0.00626,0.000948377,0.000948377,0.000948377
24,816.355,2.03682,5.11943,0.00463,0.63734,0.52374,0.45103,0.15974,3.99155,35.7341,0.00816,0.000943671,0.000943671,0.000943671
25,849.891,2.00555,4.99619,0.00454,0.61865,0.50728,0.4245,0.15304,3.29637,34.3588,0.00583,0.000938772,0.000938772,0.000938772
26,883.303,1.99984,5.00302,0.00449,0.73284,0.57496,0.55082,0.18712,3.62146,33.792,0.00969,0.000933683,0.000933683,0.000933683
27,916.636,1.98706,4.90218,0.00451,0.40735,0.1606,0.11777,0.04742,4.03334,40.0847,0.00732,0.000928405,0.000928405,0.000928405
28,949.942,1.98216,4.9577,0.00448,0.50103,0.35132,0.28827,0.10102,3.8523,40.578,0.00701,0.000922942,0.000922942,0.000922942
29,983.181,1.95324,4.80379,0.00442,0.56542,0.48841,0.38893,0.13167,3.50677,38.2761,0.00639,0.000917296,0.000917296,0.000917296
30,1016.59,1.97488,4.90977,0.00448,0.40181,0.20132,0.18078,0.07318,4.22309,37.4194,0.00773,0.000911469,0.000911469,0.000911469
31,1049.96,1.96379,4.78483,0.00445,0.58876,0.51358,0.40165,0.1502,3.31039,36.8304,0.006,0.000905463,0.000905463,0.000905463
32,1083.08,1.95414,4.75892,0.00438,0.50554,0.46523,0.28581,0.09176,3.71236,39.4985,0.00712,0.000899282,0.000899282,0.000899282
33,1116.52,1.9645,4.71051,0.00442,0.59651,0.51093,0.41681,0.12955,3.75832,36.6881,0.00706,0.000892928,0.000892928,0.000892928
34,1150,1.96729,4.77479,0.00442,0.51725,0.43035,0.31836,0.11237,3.22275,35.1957,0.00581,0.000886404,0.000886404,0.000886404
35,1183.52,1.96524,4.70204,0.00441,0.68646,0.53742,0.47182,0.16407,3.71013,35.1525,0.00721,0.000879713,0.000879713,0.000879713
36,1217.09,1.9348,4.63401,0.00433,0.4882,0.38576,0.26747,0.0888,3.37045,32.8153,0.00629,0.000872857,0.000872857,0.000872857
