epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5135,2.4206,16.8697,0.01112,0.47938,0.44747,0.38969,0.13959,3.1303,19.4337,0.0104,0.000332056,0.000332056,0.0671264
2,136.226,2.26796,9.53746,0.01012,0.54744,0.51397,0.45269,0.13406,3.48721,17.9415,0.0116,0.000665317,0.000665317,0.0341264
3,182.575,2.23532,8.10903,0.00994,0.62905,0.42758,0.44762,0.14274,3.42506,24.4791,0.01167,0.000998289,0.000998289,0.001126
4,229.816,2.19825,7.37932,0.00972,0.72508,0.59445,0.63574,0.19765,3.61301,13.5653,0.01352,0.000999023,0.000999023,0.000999023
5,276.705,2.14276,6.68474,0.00939,0.71383,0.64497,0.56604,0.19368,3.3606,17.4862,0.01205,0.000998264,0.000998264,0.000998264
6,323.55,2.10356,6.39884,0.00918,0.36627,0.28856,0.25871,0.07975,3.80171,23.5885,0.01244,0.000997288,0.000997288,0.000997288
7,388.251,2.07458,6.14052,0.009,0.4548,0.1886,0.17574,0.05958,4.17566,35.9642,0.01525,0.000996097,0.000996097,0.000996097
8,468.604,2.04558,5.91813,0.00883,0.67064,0.59897,0.58106,0.189,3.36179,18.8094,0.01241,0.00099469,0.00099469,0.00099469
9,549.296,2.03415,5.70339,0.00874,0.71764,0.69125,0.61582,0.21315,3.32629,13.6703,0.01138,0.000993068,0.000993068,0.000993068
10,627.919,2.00214,5.52061,0.0086,0.753,0.63892,0.62709,0.22284,3.32799,14.6794,0.01124,0.000991232,0.000991232,0.000991232
11,696.787,1.996,5.44259,0.00852,0.63604,0.45798,0.44884,0.15338,3.61486,25.1888,0.01191,0.000989183,0.000989183,0.000989183
12,771.136,1.96782,5.33754,0.00837,0.77063,0.68849,0.66859,0.22979,3.37198,12.3585,0.01138,0.000986922,0.000986922,0.000986922
13,842.885,1.96018,5.15925,0.00831,0.56326,0.43237,0.34156,0.1149,3.81078,23.2066,0.01258,0.000984449,0.000984449,0.000984449
14,898.074,1.93192,5.09593,0.00816,0.57275,0.42156,0.34695,0.11633,3.86117,29.9354,0.01379,0.000981765,0.000981765,0.000981765
15,949.9,1.93825,5.04464,0.0082,0.55552,0.4815,0.39952,0.13407,3.27437,20.9394,0.01064,0.000978873,0.000978873,0.000978873
16,996.557,1.91892,4.97307,0.0081,0.76173,0.67799,0.62117,0.20191,3.31697,19.8716,0.01143,0.000975773,0.000975773,0.000975773
17,1043.26,1.91471,4.96705,0.00807,0.73154,0.62668,0.54959,0.19396,3.34906,19.1822,0.01156,0.000972466,0.000972466,0.000972466
18,1090.01,1.89182,4.90265,0.008,0.70438,0.63991,0.56331,0.20026,3.31519,23.6995,0.01121,0.000968955,0.000968955,0.000968955
19,1136.92,1.89609,4.89682,0.00799,0.82117,0.69716,0.72988,0.24921,3.36121,13.3339,0.01147,0.000965239,0.000965239,0.000965239
20,1184.64,1.88123,4.84453,0.00794,0.72473,0.59772,0.52422,0.17449,3.47323,23.2965,0.01141,0.000961322,0.000961322,0.000961322
21,1230.15,1.87849,4.81703,0.00786,0.69727,0.50768,0.47654,0.17037,3.64651,27.0093,0.01211,0.000957205,0.000957205,0.000957205
22,1278.55,1.86759,4.71537,0.00779,0.74617,0.59849,0.53716,0.17455,3.74929,24.7081,0.01312,0.000952889,0.000952889,0.000952889
23,1324.35,1.85878,4.70819,0.00775,0.70858,0.56941,0.47521,0.16413,3.46347,23.3221,0.01279,0.000948377,0.000948377,0.000948377
24,1370.71,1.83608,4.63728,0.00766,0.68882,0.50847,0.44989,0.15216,3.26596,28.1393,0.01156,0.000943671,0.000943671,0.000943671
25,1416.44,1.84303,4.61411,0.00766,0.74481,0.6201,0.54864,0.19886,3.30152,20.429,0.01208,0.000938772,0.000938772,0.000938772
26,1462.34,1.83588,4.60603,0.00765,0.70247,0.5665,0.4788,0.16871,3.32897,22.7029,0.0119,0.000933683,0.000933683,0.000933683
27,1509.65,1.82016,4.54328,0.00755,0.7148,0.61444,0.50207,0.18381,3.54592,33.8573,0.01329,0.000928405,0.000928405,0.000928405
28,1555.49,1.80044,4.49785,0.00747,0.68148,0.50956,0.42956,0.14596,3.78031,28.4014,0.0134,0.000922942,0.000922942,0.000922942
29,1601.2,1.80871,4.50846,0.00748,0.71562,0.58966,0.49596,0.16059,3.28658,19.0213,0.01185,0.000917296,0.000917296,0.000917296
30,1648.69,1.80212,4.51415,0.00745,0.68858,0.5521,0.46147,0.15443,3.31203,18.1788,0.01145,0.000911469,0.000911469,0.000911469
31,1694.65,1.78966,4.42515,0.0074,0.72353,0.54906,0.46439,0.16348,3.254,17.7509,0.01136,0.000905463,0.000905463,0.000905463
32,1740.65,1.78334,4.42986,0.00737,0.74528,0.57957,0.50179,0.17193,3.43911,22.8193,0.01176,0.000899282,0.000899282,0.000899282
33,1786.31,1.79415,4.39821,0.0074,0.75797,0.57772,0.51137,0.18942,3.39589,23.8166,0.01198,0.000892928,0.000892928,0.000892928
34,1832.3,1.78223,4.3878,0.00735,0.78732,0.6123,0.57645,0.20577,3.39593,23.19,0.01152,0.000886404,0.000886404,0.000886404
35,1877.96,1.7754,4.36815,0.00729,0.72005,0.57193,0.48197,0.15501,3.64962,23.7642,0.01315,0.000879713,0.000879713,0.000879713
36,1923.59,1.76758,4.2874,0.00727,0.72378,0.57874,0.49349,0.17006,3.76006,27.5097,0.01347,0.000872857,0.000872857,0.000872857
37,1969,1.76737,4.30699,0.00726,0.75042,0.57222,0.52004,0.19215,3.5685,27.3746,0.01223,0.000865839,0.000865839,0.000865839
38,2016.4,1.75933,4.31029,0.00721,0.71842,0.57834,0.47821,0.16718,3.41933,22.384,0.01184,0.000858664,0.000858664,0.000858664
39,2062.31,1.74776,4.24632,0.00718,0.73514,0.58632,0.50434,0.17959,3.23627,18.6359,0.01132,0.000851333,0.000851333,0.000851333
40,2108.33,1.76012,4.2937,0.00721,0.75712,0.56883,0.49618,0.1783,3.24058,19.0885,0.0114,0.000843851,0.000843851,0.000843851
41,2154.31,1.73622,4.19984,0.0071,0.76447,0.57415,0.51272,0.19023,3.20886,21.2166,0.01134,0.00083622,0.00083622,0.00083622
42,2200,1.73185,4.16539,0.00708,0.73481,0.5627,0.48933,0.17163,3.46378,23.834,0.01241,0.000828443,0.000828443,0.000828443
43,2245.79,1.72093,4.14802,0.00702,0.71399,0.52866,0.44993,0.15721,3.49392,25.2725,0.01211,0.000820525,0.000820525,0.000820525
44,2291.32,1.72731,4.15563,0.00708,0.72462,0.54998,0.47481,0.16164,3.47856,24.0956,0.01206,0.000812468,0.000812468,0.000812468
45,2337.87,1.72769,4.17747,0.00704,0.73789,0.54886,0.48222,0.16258,3.67061,26.1418,0.01293,0.000804277,0.000804277,0.000804277
46,2384.51,1.71752,4.15995,0.00701,0.74086,0.54315,0.47516,0.15559,3.52701,26.3633,0.01251,0.000795954,0.000795954,0.000795954
47,2431.12,1.71539,4.14549,0.00699,0.73378,0.5426,0.46711,0.15337,3.41189,24.8449,0.01209,0.000787503,0.000787503,0.000787503
48,2478.27,1.7057,4.10284,0.00696,0.72939,0.5372,0.46014,0.15026,3.3542,22.6358,0.01194,0.000778929,0.000778929,0.000778929
49,2525.35,1.70248,4.06545,0.00691,0.738,0.55783,0.47339,0.15324,3.36318,21.6342,0.01196,0.000770234,0.000770234,0.000770234
50,2572.99,1.70437,4.06748,0.0069,0.73884,0.55559,0.47489,0.15424,3.35076,21.7612,0.01191,0.000761423,0.000761423,0.000761423
51,2620.53,1.69247,4.03536,0.00687,0.73798,0.55855,0.47818,0.15968,3.28232,20.6895,0.01166,0.0007525,0.0007525,0.0007525
52,2667.54,1.69059,4.0606,0.00685,0.72999,0.55924,0.47608,0.1578,3.30431,20.5891,0.01187,0.000743468,0.000743468,0.000743468
53,2717.07,1.68821,4.02625,0.00683,0.72824,0.54223,0.45984,0.15398,3.26656,19.2026,0.01177,0.000734332,0.000734332,0.000734332
54,2764.29,1.67941,4.01205,0.0068,0.72421,0.53988,0.45731,0.15188,3.27915,19.4267,0.01177,0.000725094,0.000725094,0.000725094
55,2811.52,1.68121,3.99627,0.0068,0.71139,0.54978,0.45727,0.15205,3.36727,21.1028,0.01215,0.000715761,0.000715761,0.000715761
56,2858.72,1.67297,3.9692,0.00676,0.71065,0.54529,0.45594,0.15069,3.38723,21.0866,0.0123,0.000706335,0.000706335,0.000706335
57,2906,1.67095,3.98509,0.00677,0.71156,0.54099,0.45331,0.14801,3.54174,24.4435,0.01279,0.00069682,0.00069682,0.00069682
58,2953.5,1.66436,4.00231,0.00673,0.70172,0.541,0.44654,0.1457,3.55736,24.4371,0.01291,0.000687222,0.000687222,0.000687222
59,3000.59,1.65754,3.96973,0.00669,0.69946,0.53856,0.44396,0.14512,3.56046,24.3874,0.01293,0.000677543,0.000677543,0.000677543
60,3048.65,1.65613,3.89133,0.00667,0.69807,0.53509,0.44001,0.14395,3.57688,24.132,0.01307,0.000667789,0.000667789,0.000667789
61,3096.3,1.65377,3.87802,0.00665,0.69605,0.53444,0.4356,0.1435,3.58011,24.2705,0.01313,0.000657963,0.000657963,0.000657963
62,3143.34,1.6395,3.89374,0.00662,0.69232,0.53529,0.43578,0.14336,3.5743,24.6054,0.01307,0.000648071,0.000648071,0.000648071
63,3190.42,1.6416,3.85421,0.0066,0.6937,0.53468,0.43502,0.1427,3.56372,24.5788,0.01305,0.000638115,0.000638115,0.000638115
64,3237.41,1.63522,3.88445,0.00658,0.69645,0.53182,0.43394,0.14324,3.56187,24.4987,0.01308,0.000628101,0.000628101,0.000628101
65,3284.88,1.64662,3.85609,0.00662,0.697,0.53376,0.43445,0.14214,3.56378,24.6157,0.01312,0.000618034,0.000618034,0.000618034
66,3332.18,1.63173,3.84307,0.00657,0.70233,0.53185,0.43551,0.14282,3.55913,24.7598,0.01307,0.000607916,0.000607916,0.000607916
