epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.988,2.30317,16.5938,0.01049,0.50257,0.55447,0.46158,0.1294,3.3199,16.1248,0.0118,0.000332695,0.000332695,0.0670632
2,357.548,2.21683,9.01791,0.01002,0.49671,0.56916,0.45349,0.15321,3.23317,16.2523,0.01126,0.000665956,0.000665956,0.0340631
3,505.818,2.18211,8.18087,0.00984,0.59449,0.48705,0.41874,0.15653,3.24851,26.2294,0.01136,0.000998928,0.000998928,0.00106278
4,644.984,2.13063,7.48301,0.00956,0.47667,0.28029,0.36673,0.13445,3.20468,23.003,0.01138,0.000999023,0.000999023,0.000999023
5,784.557,2.06236,6.86316,0.0092,0.54593,0.49072,0.46478,0.15665,3.35744,18.6167,0.01153,0.000998264,0.000998264,0.000998264
6,927.261,2.03297,6.48031,0.009,0.56075,0.35557,0.35423,0.15444,3.09619,27.674,0.01104,0.000997288,0.000997288,0.000997288
7,1064.85,2.00096,6.23006,0.00883,0.70804,0.6528,0.57706,0.20098,3.08156,18.4423,0.01126,0.000996097,0.000996097,0.000996097
8,1209.49,1.9801,6.02671,0.00869,0.67737,0.51489,0.44537,0.15101,3.2667,24.9386,0.0119,0.00099469,0.00099469,0.00099469
9,1353.08,1.95545,5.8175,0.00851,0.66991,0.58945,0.53201,0.19031,3.0836,18.08,0.01078,0.000993068,0.000993068,0.000993068
10,1497.08,1.93216,5.64992,0.00841,0.25526,0.33447,0.22978,0.06712,3.74503,25.7538,0.01304,0.000991232,0.000991232,0.000991232
11,1633.26,1.91879,5.57803,0.00833,0.73215,0.6945,0.67518,0.23818,3.10703,11.6674,0.01129,0.000989183,0.000989183,0.000989183
12,1768.45,1.89008,5.39158,0.00818,0.48539,0.50952,0.41884,0.14381,3.27629,19.8371,0.01138,0.000986922,0.000986922,0.000986922
13,1905.9,1.88986,5.39004,0.00817,0.70309,0.6277,0.57205,0.21334,3.02521,17.8215,0.01061,0.000984449,0.000984449,0.000984449
14,2041.46,1.87096,5.38011,0.00808,0.59638,0.50224,0.45306,0.176,2.96431,22.7657,0.01035,0.000981765,0.000981765,0.000981765
15,2177.67,1.8649,5.26876,0.00803,0.70641,0.59614,0.55102,0.2101,2.99508,19.2073,0.01061,0.000978873,0.000978873,0.000978873
16,2315.9,1.85466,5.16739,0.008,0.67428,0.47868,0.41855,0.15883,3.08204,25.4542,0.01116,0.000975773,0.000975773,0.000975773
17,2454.02,1.83452,5.06154,0.00786,0.65016,0.62858,0.55935,0.20587,3.06261,14.7743,0.01068,0.000972466,0.000972466,0.000972466
18,2592.18,1.83361,5.00038,0.00786,0.67339,0.47644,0.48905,0.19873,3.05025,22.0332,0.0108,0.000968955,0.000968955,0.000968955
19,2730.04,1.81502,4.94834,0.00774,0.65922,0.49704,0.52351,0.21191,2.94879,18.5306,0.01043,0.000965239,0.000965239,0.000965239
20,2868.44,1.81418,4.8862,0.00777,0.68476,0.6021,0.57215,0.21317,3.02535,16.8415,0.01053,0.000961322,0.000961322,0.000961322
21,3008.14,1.8022,4.88719,0.00766,0.65133,0.54621,0.49007,0.19244,3.01906,20.0818,0.01063,0.000957205,0.000957205,0.000957205
22,3145.91,1.80097,4.83477,0.00768,0.67597,0.55488,0.52032,0.19039,3.13614,17.7325,0.01104,0.000952889,0.000952889,0.000952889
23,3285.38,1.7831,4.83089,0.00759,0.65985,0.60923,0.55459,0.20749,3.14935,14.834,0.01096,0.000948377,0.000948377,0.000948377
24,3423.88,1.77899,4.79022,0.00757,0.66053,0.57222,0.53172,0.20477,3.1251,17.3231,0.01089,0.000943671,0.000943671,0.000943671
25,3563.32,1.78109,4.73116,0.00756,0.66356,0.5917,0.54598,0.20552,3.11521,16.693,0.0109,0.000938772,0.000938772,0.000938772
26,3703.17,1.7687,4.65155,0.0075,0.68626,0.59935,0.55977,0.21657,3.12002,16.1671,0.01081,0.000933683,0.000933683,0.000933683
27,3841.71,1.75597,4.62981,0.00745,0.68134,0.615,0.5798,0.22574,3.10066,15.2955,0.01067,0.000928405,0.000928405,0.000928405
28,3982.03,1.75129,4.57951,0.00741,0.67819,0.62444,0.58452,0.22678,3.1119,14.8155,0.01073,0.000922942,0.000922942,0.000922942
29,4123.77,1.73853,4.54024,0.00732,0.67372,0.61791,0.5824,0.22713,3.12802,14.7278,0.01082,0.000917296,0.000917296,0.000917296
30,4262.88,1.74091,4.51323,0.00733,0.66944,0.61414,0.57598,0.22322,3.14426,15.137,0.01086,0.000911469,0.000911469,0.000911469
31,4402.84,1.71738,4.48514,0.00722,0.66615,0.59835,0.5641,0.21972,3.13031,15.9988,0.01084,0.000905463,0.000905463,0.000905463
32,4540.92,1.72236,4.49423,0.00725,0.67032,0.59476,0.56469,0.22048,3.10554,16.2263,0.01078,0.000899282,0.000899282,0.000899282
33,4680.24,1.73269,4.4791,0.00731,0.6591,0.60771,0.56466,0.21988,3.11677,16.0519,0.01081,0.000892928,0.000892928,0.000892928
34,4820.48,1.72178,4.45146,0.00724,0.6578,0.60234,0.56498,0.22009,3.11769,15.9995,0.01081,0.000886404,0.000886404,0.000886404
35,4958.53,1.71842,4.47836,0.00724,0.65668,0.59563,0.56299,0.21882,3.11613,16.2954,0.01083,0.000879713,0.000879713,0.000879713
36,5098.59,1.71246,4.39409,0.00721,0.65906,0.59231,0.56355,0.2194,3.11716,16.4081,0.01082,0.000872857,0.000872857,0.000872857
