epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0384,2.67417,14.0986,0.00683,0.6438,0.60563,0.56869,0.17047,3.46101,13.1026,0.00619,3.31973e-05,3.31973e-05,0.0668359
2,129.286,2.31001,6.84128,0.00571,0.79746,0.60265,0.65341,0.24035,3.06236,16.4468,0.00541,6.65234e-05,6.65234e-05,0.0335359
3,186.581,2.12861,5.59053,0.00516,0.67813,0.55364,0.54632,0.19184,3.12347,20.5498,0.00542,9.98206e-05,9.98206e-05,0.000235875
4,243.778,2.03649,5.18266,0.00492,0.66817,0.56291,0.483,0.18561,3.01377,24.3047,0.00521,9.99023e-05,9.99023e-05,9.99023e-05
5,300.464,1.9841,5.0063,0.00474,0.39897,0.27343,0.2468,0.06903,3.76672,24.4601,0.00639,9.98264e-05,9.98264e-05,9.98264e-05
6,356.852,1.95407,4.79376,0.00464,0.56998,0.54073,0.43853,0.15113,3.16614,25.3255,0.00544,9.97288e-05,9.97288e-05,9.97288e-05
7,413.125,1.91108,4.64424,0.0045,0.5905,0.54767,0.45592,0.15139,3.2178,20.947,0.00558,9.96097e-05,9.96097e-05,9.96097e-05
8,470.998,1.89448,4.49292,0.00448,0.64094,0.63127,0.52991,0.19193,3.03615,20.0717,0.00536,9.9469e-05,9.9469e-05,9.9469e-05
9,527.503,1.86668,4.37184,0.0044,0.58446,0.53372,0.41747,0.12992,3.38211,21.6146,0.0059,9.93068e-05,9.93068e-05,9.93068e-05
10,583.865,1.85183,4.30748,0.00433,0.66645,0.57495,0.54243,0.20546,3.00351,20.4149,0.00526,9.91232e-05,9.91232e-05,9.91232e-05
11,640.557,1.82965,4.17685,0.00427,0.58994,0.52068,0.42444,0.13385,3.38086,21.7014,0.00585,9.89183e-05,9.89183e-05,9.89183e-05
12,697.266,1.82375,4.16793,0.00426,0.57396,0.52417,0.41539,0.13793,3.33887,25.2021,0.00562,9.86922e-05,9.86922e-05,9.86922e-05
13,753.483,1.81831,4.12787,0.00425,0.58666,0.56491,0.42827,0.16503,3.11718,24.584,0.00548,9.84449e-05,9.84449e-05,9.84449e-05
14,810.741,1.79697,4.06891,0.00416,0.6548,0.58675,0.58579,0.19776,3.28798,15.7724,0.00568,9.81765e-05,9.81765e-05,9.81765e-05
15,867.702,1.78401,3.92112,0.00413,0.57972,0.53212,0.41303,0.13966,3.30083,22.9087,0.00564,9.78873e-05,9.78873e-05,9.78873e-05
16,923.815,1.78673,3.99962,0.00412,0.65008,0.57351,0.44471,0.15641,3.24535,25.7958,0.00561,9.75773e-05,9.75773e-05,9.75773e-05
17,979.872,1.7656,3.9077,0.00408,0.56545,0.50132,0.3802,0.12855,3.48521,31.6166,0.00607,9.72466e-05,9.72466e-05,9.72466e-05
18,1036.28,1.75764,3.8918,0.00407,0.59658,0.55232,0.42355,0.13897,3.30043,24.4651,0.0057,9.68955e-05,9.68955e-05,9.68955e-05
19,1093.53,1.7537,3.85706,0.00405,0.63783,0.55066,0.43265,0.1424,3.2905,24.1393,0.00567,9.65239e-05,9.65239e-05,9.65239e-05
20,1149.81,1.7432,3.7822,0.004,0.57594,0.55298,0.42819,0.15183,3.06274,25.5393,0.00555,9.61322e-05,9.61322e-05,9.61322e-05
21,1206.7,1.74197,3.83213,0.004,0.57195,0.56457,0.40833,0.12683,3.21825,24.3664,0.00575,9.57205e-05,9.57205e-05,9.57205e-05
22,1263.68,1.72153,3.82035,0.00393,0.60791,0.56391,0.45585,0.14328,3.34335,23.9948,0.00595,9.52889e-05,9.52889e-05,9.52889e-05
23,1319.94,1.7228,3.73879,0.00395,0.61718,0.54453,0.43978,0.13842,3.39652,22.2143,0.00596,9.48377e-05,9.48377e-05,9.48377e-05
24,1376.37,1.707,3.7192,0.0039,0.55006,0.46258,0.31668,0.09962,3.52269,31.4952,0.00644,9.43671e-05,9.43671e-05,9.43671e-05
25,1432.78,1.71174,3.72662,0.00391,0.59725,0.55662,0.41063,0.12735,3.21389,25.1922,0.0059,9.38772e-05,9.38772e-05,9.38772e-05
26,1489.11,1.7102,3.72259,0.0039,0.57486,0.51358,0.39801,0.12594,3.34617,26.5828,0.00606,9.33683e-05,9.33683e-05,9.33683e-05
27,1546.08,1.68139,3.66631,0.00383,0.58015,0.52344,0.3981,0.13929,3.15663,28.3618,0.00554,9.28405e-05,9.28405e-05,9.28405e-05
28,1602.78,1.68563,3.63216,0.00383,0.63657,0.57947,0.42942,0.14459,3.19795,31.0627,0.00567,9.22942e-05,9.22942e-05,9.22942e-05
29,1658.75,1.67079,3.65092,0.00379,0.56441,0.48998,0.37076,0.12117,3.15934,32.9175,0.00552,9.17296e-05,9.17296e-05,9.17296e-05
30,1715.28,1.66264,3.60839,0.00378,0.64565,0.56258,0.42677,0.14723,3.25241,29.2998,0.00582,9.11469e-05,9.11469e-05,9.11469e-05
31,1771.25,1.66148,3.59777,0.00379,0.62281,0.50848,0.36831,0.11079,3.27229,34.4844,0.00614,9.05463e-05,9.05463e-05,9.05463e-05
32,1827.48,1.6476,3.56352,0.00374,0.52834,0.49536,0.33426,0.09901,3.28211,28.909,0.0059,8.99282e-05,8.99282e-05,8.99282e-05
33,1883.65,1.64071,3.49571,0.00371,0.64343,0.54076,0.40818,0.12763,3.25152,30.4297,0.00604,8.92928e-05,8.92928e-05,8.92928e-05
34,1940.13,1.64341,3.54607,0.00372,0.62053,0.49437,0.3713,0.11833,3.2486,36.9584,0.00567,8.86404e-05,8.86404e-05,8.86404e-05
35,1996.31,1.64161,3.50154,0.00372,0.62978,0.55828,0.39763,0.12276,3.175,29.3818,0.00563,8.79713e-05,8.79713e-05,8.79713e-05
