epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4001,2.60917,10.1722,0.01233,0.44955,0.44961,0.30786,0.07631,4.29401,15.0481,0.01425,3.32695e-05,3.32695e-05,0.0667638
2,178.95,2.30057,6.9502,0.01052,0.70693,0.70471,0.63846,0.24509,3.10632,14.0691,0.01045,6.65956e-05,6.65956e-05,0.0334638
3,263.03,2.12616,6.0416,0.0095,0.70065,0.58203,0.57463,0.19361,3.37168,19.9544,0.01122,9.98928e-05,9.98928e-05,0.00016375
4,346.84,2.0224,5.50231,0.00889,0.57689,0.48799,0.4525,0.14904,3.59004,18.8058,0.01173,9.99023e-05,9.99023e-05,9.99023e-05
5,430.414,1.97636,5.22033,0.00865,0.6679,0.56885,0.49643,0.19056,3.22108,23.4609,0.01093,9.98264e-05,9.98264e-05,9.98264e-05
6,515.128,1.9422,5.04774,0.00844,0.59768,0.48939,0.43763,0.16501,3.25758,23.6921,0.01089,9.97288e-05,9.97288e-05,9.97288e-05
7,599.464,1.90081,4.85944,0.00823,0.69467,0.65718,0.58619,0.20574,3.2113,16.5062,0.01114,9.96097e-05,9.96097e-05,9.96097e-05
8,683.391,1.88115,4.80885,0.00808,0.6307,0.49663,0.44136,0.16314,3.39496,23.3677,0.01118,9.9469e-05,9.9469e-05,9.9469e-05
9,767.07,1.86749,4.71502,0.00797,0.68261,0.64994,0.60754,0.22266,3.16319,18.2816,0.01062,9.93068e-05,9.93068e-05,9.93068e-05
10,852.361,1.8426,4.62562,0.00787,0.64168,0.59517,0.54373,0.18876,3.23483,19.4805,0.01132,9.91232e-05,9.91232e-05,9.91232e-05
11,936.907,1.83156,4.56683,0.00778,0.68417,0.54952,0.47932,0.15837,3.31699,25.2384,0.0113,9.89183e-05,9.89183e-05,9.89183e-05
12,1020.22,1.81092,4.45487,0.00768,0.63578,0.54145,0.45636,0.17081,3.64294,22.8995,0.01259,9.86922e-05,9.86922e-05,9.86922e-05
