epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.077,2.4215,13.2489,0.01111,0.29319,0.27479,0.15993,0.03935,4.5291,20.2903,0.01556,3.33014e-05,3.33014e-05,0.0667319
2,501.096,2.17961,7.98049,0.00976,0.488,0.46379,0.36771,0.14327,3.03701,21.2338,0.01091,6.66275e-05,6.66275e-05,0.0334319
3,745.945,2.01741,6.75131,0.00885,0.62705,0.49725,0.43196,0.17754,2.89978,23.9219,0.01019,9.99246e-05,9.99246e-05,0.000131884
4,1028.88,1.93084,6.28021,0.00841,0.67221,0.59301,0.57759,0.23473,2.99731,16.2462,0.01057,9.99023e-05,9.99023e-05,9.99023e-05
5,1312.12,1.88197,5.8545,0.00815,0.62856,0.53646,0.49544,0.20792,2.87984,19.3342,0.0103,9.98264e-05,9.98264e-05,9.98264e-05
6,1597.68,1.84839,5.66788,0.00797,0.61353,0.55169,0.50581,0.21274,2.87797,19.4938,0.01003,9.97288e-05,9.97288e-05,9.97288e-05
7,1881.35,1.8141,5.48037,0.00777,0.68766,0.5511,0.50308,0.19084,3.04041,22.643,0.01103,9.96097e-05,9.96097e-05,9.96097e-05
8,2162.23,1.79824,5.30482,0.00765,0.67775,0.59741,0.52392,0.20417,2.97184,23.213,0.01074,9.9469e-05,9.9469e-05,9.9469e-05
9,2443.68,1.77836,5.19482,0.00756,0.6424,0.55335,0.49971,0.2021,2.91674,20.9184,0.01013,9.93068e-05,9.93068e-05,9.93068e-05
10,2724.69,1.76862,5.02112,0.00753,0.6334,0.52836,0.45633,0.17637,2.91403,27.8868,0.01024,9.91232e-05,9.91232e-05,9.91232e-05
11,3006.5,1.744,4.93646,0.00737,0.63231,0.53458,0.4918,0.20655,2.86897,20.1954,0.01006,9.89183e-05,9.89183e-05,9.89183e-05
12,3287.52,1.73765,4.88776,0.00735,0.6239,0.48735,0.45232,0.18554,2.95786,27.5403,0.0105,9.86922e-05,9.86922e-05,9.86922e-05
13,3568.31,1.73229,4.78418,0.00729,0.64661,0.53096,0.48185,0.18484,3.12596,24.7259,0.01152,9.84449e-05,9.84449e-05,9.84449e-05
14,3848.97,1.7129,4.69785,0.00719,0.66197,0.53407,0.49581,0.19482,2.997,26.78,0.0108,9.81765e-05,9.81765e-05,9.81765e-05
15,4130.38,1.70884,4.7046,0.00717,0.6475,0.51674,0.49321,0.18964,3.0436,22.4606,0.01103,9.78873e-05,9.78873e-05,9.78873e-05
16,4411.22,1.68201,4.581,0.00705,0.62311,0.48938,0.43289,0.1593,3.04987,26.704,0.01126,9.75773e-05,9.75773e-05,9.75773e-05
17,4691.5,1.68062,4.59033,0.00703,0.64414,0.51714,0.47072,0.16996,3.13774,23.454,0.01146,9.72466e-05,9.72466e-05,9.72466e-05
18,4972.45,1.67467,4.47016,0.00704,0.68991,0.55258,0.5126,0.19603,3.08715,23.9268,0.01117,9.68955e-05,9.68955e-05,9.68955e-05
19,5253.33,1.66054,4.45544,0.00694,0.67792,0.56304,0.50829,0.18939,3.07378,25.6352,0.0111,9.65239e-05,9.65239e-05,9.65239e-05
20,5534.34,1.65616,4.42456,0.00692,0.66048,0.53958,0.49294,0.1827,3.1192,23.4364,0.01124,9.61322e-05,9.61322e-05,9.61322e-05
21,5814.57,1.65084,4.39587,0.00688,0.6138,0.48569,0.42801,0.14209,3.30883,23.1816,0.01266,9.57205e-05,9.57205e-05,9.57205e-05
22,6095.23,1.63596,4.3955,0.00679,0.61053,0.53335,0.47396,0.15716,3.28873,21.7884,0.01247,9.52889e-05,9.52889e-05,9.52889e-05
23,6375.99,1.62377,4.37789,0.00674,0.64666,0.56365,0.51125,0.16855,3.23232,20.4461,0.01193,9.48377e-05,9.48377e-05,9.48377e-05
24,6657.31,1.63323,4.29304,0.00679,0.6299,0.5459,0.49666,0.16179,3.2956,19.7047,0.01233,9.43671e-05,9.43671e-05,9.43671e-05
25,6938.34,1.61457,4.26056,0.00667,0.64254,0.52674,0.48548,0.16484,3.25339,20.8479,0.01205,9.38772e-05,9.38772e-05,9.38772e-05
26,7218.64,1.60748,4.21807,0.00663,0.64356,0.52227,0.4832,0.17584,3.20669,21.6742,0.01169,9.33683e-05,9.33683e-05,9.33683e-05
27,7499.53,1.60442,4.19029,0.00662,0.65413,0.51969,0.48663,0.17455,3.2008,21.8763,0.0117,9.28405e-05,9.28405e-05,9.28405e-05
28,7780.21,1.60059,4.22269,0.00662,0.65728,0.5257,0.48937,0.17632,3.17433,22.1454,0.01158,9.22942e-05,9.22942e-05,9.22942e-05
29,8061.43,1.58252,4.19692,0.0065,0.65291,0.51816,0.47923,0.17475,3.17438,21.7855,0.01152,9.17296e-05,9.17296e-05,9.17296e-05
30,8342.12,1.58514,4.1433,0.00652,0.64508,0.51754,0.47936,0.17824,3.16435,21.41,0.01142,9.11469e-05,9.11469e-05,9.11469e-05
31,8622.94,1.58618,4.07635,0.00652,0.64597,0.51765,0.48174,0.17819,3.18037,21.1189,0.01148,9.05463e-05,9.05463e-05,9.05463e-05
32,8903.97,1.57507,4.06237,0.00646,0.65026,0.51754,0.48481,0.17611,3.18836,20.7907,0.01152,8.99282e-05,8.99282e-05,8.99282e-05
33,9185.19,1.56801,4.01824,0.00644,0.64346,0.50938,0.476,0.17033,3.21546,20.972,0.01168,8.92928e-05,8.92928e-05,8.92928e-05
34,9465.97,1.56638,4.07368,0.00642,0.63622,0.50459,0.46905,0.16718,3.22906,21.2488,0.01177,8.86404e-05,8.86404e-05,8.86404e-05
35,9746.51,1.56872,4.07648,0.00644,0.63429,0.505,0.47057,0.16762,3.2275,21.3193,0.01176,8.79713e-05,8.79713e-05,8.79713e-05
36,10027.3,1.55356,3.97225,0.00635,0.63504,0.50388,0.47452,0.16834,3.22576,21.3055,0.01174,8.72857e-05,8.72857e-05,8.72857e-05
37,10308.2,1.54049,3.99678,0.00631,0.63465,0.50459,0.47483,0.16792,3.23074,21.374,0.01178,8.65839e-05,8.65839e-05,8.65839e-05
38,10588.8,1.53515,3.99081,0.00626,0.63115,0.50224,0.47084,0.16775,3.23662,21.5562,0.01183,8.58664e-05,8.58664e-05,8.58664e-05
39,10869.1,1.53779,3.98757,0.00628,0.62813,0.50275,0.47046,0.16585,3.25034,21.4217,0.01191,8.51333e-05,8.51333e-05,8.51333e-05
40,11149.8,1.52704,3.99275,0.00621,0.62362,0.50388,0.46728,0.1632,3.26564,21.2397,0.012,8.43851e-05,8.43851e-05,8.43851e-05
41,11431,1.53449,3.91547,0.00626,0.62316,0.49939,0.46432,0.16114,3.27122,21.4122,0.01205,8.3622e-05,8.3622e-05,8.3622e-05
42,11712.3,1.52364,3.85499,0.00623,0.61923,0.49561,0.46346,0.16055,3.27494,21.5887,0.01206,8.28443e-05,8.28443e-05,8.28443e-05
43,11993.5,1.52048,3.85242,0.00621,0.61585,0.49612,0.46307,0.15947,3.28077,21.5842,0.0121,8.20525e-05,8.20525e-05,8.20525e-05
44,12274,1.51355,3.85526,0.00614,0.6145,0.49286,0.45908,0.15854,3.28202,21.8655,0.01211,8.12468e-05,8.12468e-05,8.12468e-05
